# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	743	1048	+	EPJJIE_000001	-	-	-	-	-	-
contig_1	cds	1045	1185	+	EPJJIE_000002	-	-	-	-	-	-
contig_1	cds	1289	1486	+	EPJJIE_000003	-	-	-	-	-	-
contig_1	cds	1539	1724	+	EPJJIE_000004	-	-	-	-	-	-
contig_1	cds	2101	2235	+	EPJJIE_000005	-	-	-	-	-	-
contig_1	cds	2753	3019	+	EPJJIE_000006	-	-	-	-	-	-
contig_1	cds	3398	4177	-	EPJJIE_000007	450.0	5.0e-160	0.923	0.842	0.971	UniRef:UniRef50_Q45120
contig_1	cds	4375	4659	-	EPJJIE_000008	-	-	-	-	-	-
contig_1	cds	4721	4927	-	EPJJIE_000009	-	-	-	-	-	-
contig_1	cds	5062	5247	-	EPJJIE_000010	-	-	-	-	-	-
contig_1	cds	5326	5766	-	EPJJIE_000011	-	-	-	-	-	-
contig_1	cds	6182	6406	+	EPJJIE_000012	-	-	-	-	-	-
contig_1	cds	6351	6800	+	EPJJIE_000013	-	-	-	-	-	-
contig_1	cds	7303	7506	+	EPJJIE_000014	-	-	-	-	-	-
contig_1	cds	7589	7882	-	EPJJIE_000015	-	-	-	-	-	-
contig_1	cds	8002	8496	-	EPJJIE_000016	-	-	-	-	-	-
contig_1	cds	9659	10096	+	EPJJIE_000017	-	-	-	-	-	-
contig_1	cds	10086	10232	+	EPJJIE_000018	-	-	-	-	-	-
contig_1	cds	10229	10390	+	EPJJIE_000019	-	-	-	-	-	-
contig_1	cds	10446	10814	+	EPJJIE_000020	-	-	-	-	-	-
contig_1	cds	11376	12017	-	EPJJIE_000021	-	-	-	-	-	-
contig_1	cds	11962	12534	-	EPJJIE_000022	-	-	-	-	-	-
contig_1	cds	12717	12965	-	EPJJIE_000023	-	-	-	-	-	-
contig_1	cds	13098	13238	-	EPJJIE_000024	-	-	-	-	-	-
contig_1	cds	13416	14291	-	EPJJIE_000025	-	-	-	-	-	-
contig_1	cds	14330	15103	-	EPJJIE_000026	-	-	-	-	-	-
contig_1	cds	15042	15215	-	EPJJIE_000027	-	-	-	-	-	-
contig_1	cds	15452	15730	-	EPJJIE_000028	-	-	-	-	-	-
contig_1	cds	15684	16040	-	EPJJIE_000029	-	-	-	-	-	-
contig_1	cds	16282	16752	+	EPJJIE_000030	-	-	-	-	-	-
contig_1	cds	16797	17666	-	EPJJIE_000031	-	-	-	-	-	-
contig_1	cds	17672	17902	-	EPJJIE_000032	-	-	-	-	-	-
contig_1	cds	17877	18008	-	EPJJIE_000033	-	-	-	-	-	-
contig_1	cds	18139	18414	+	EPJJIE_000034	-	-	-	-	-	-
contig_1	cds	18553	18870	+	EPJJIE_000035	-	-	-	-	-	-
contig_1	cds	19243	19437	+	EPJJIE_000036	-	-	-	-	-	-
contig_1	cds	19415	19627	+	EPJJIE_000037	-	-	-	-	-	-
contig_1	cds	19620	19787	+	EPJJIE_000038	-	-	-	-	-	-
contig_1	cds	20031	20225	+	EPJJIE_000039	-	-	-	-	-	-
contig_1	cds	20523	21284	+	EPJJIE_000040	-	-	-	-	-	-
contig_1	cds	21281	21922	+	EPJJIE_000041	-	-	-	-	-	-
contig_1	cds	21975	22532	+	EPJJIE_000042	-	-	-	-	-	-
contig_1	cds	22583	23023	+	EPJJIE_000043	-	-	-	-	-	-
contig_1	cds	23053	23190	+	EPJJIE_000044	-	-	-	-	-	-
contig_1	cds	23184	23351	+	EPJJIE_000045	-	-	-	-	-	-
contig_1	cds	23296	23733	+	EPJJIE_000046	-	-	-	-	-	-
contig_1	cds	23861	24028	+	EPJJIE_000047	-	-	-	-	-	-
contig_1	cds	24049	25377	+	EPJJIE_000048	583.0	2.6e-205	0.998	0.805	0.658	UniRef:UniRef50_K5ZRF0
contig_1	cds	25672	26172	+	EPJJIE_000049	-	-	-	-	-	-
contig_1	cds	26242	26361	+	EPJJIE_000050	-	-	-	-	-	-
contig_1	cds	26403	27077	+	EPJJIE_000051	-	-	-	-	-	-
contig_1	cds	27516	27794	+	EPJJIE_000052	-	-	-	-	-	-
contig_1	cds	28108	29184	-	EPJJIE_000053	387.0	5.8e-132	0.930	0.874	0.577	UniRef:UniRef50_F8X4H3
contig_1	cds	29556	29741	+	EPJJIE_000054	-	-	-	-	-	-
contig_1	cds	29805	30158	+	EPJJIE_000055	-	-	-	-	-	-
contig_1	cds	30233	30556	-	EPJJIE_000056	-	-	-	-	-	-
contig_1	cds	30562	30951	+	EPJJIE_000057	-	-	-	-	-	-
contig_1	cds	30970	31353	-	EPJJIE_000058	-	-	-	-	-	-
contig_1	cds	31815	32030	+	EPJJIE_000059	-	-	-	-	-	-
contig_1	cds	32006	32170	+	EPJJIE_000060	-	-	-	-	-	-
contig_1	cds	32225	32413	+	EPJJIE_000061	-	-	-	-	-	-
contig_1	cds	32419	32586	+	EPJJIE_000062	-	-	-	-	-	-
contig_1	cds	32515	32994	-	EPJJIE_000063	-	-	-	-	-	-
contig_1	cds	33267	33521	+	EPJJIE_000064	-	-	-	-	-	-
contig_1	cds	33623	34345	+	EPJJIE_000065	-	-	-	-	-	-
contig_1	cds	34564	34791	+	EPJJIE_000066	-	-	-	-	-	-
contig_1	cds	35319	35471	+	EPJJIE_000067	-	-	-	-	-	-
contig_1	cds	35686	35967	-	EPJJIE_000068	-	-	-	-	-	-
contig_1	cds	35981	36415	-	EPJJIE_000069	-	-	-	-	-	-
contig_1	cds	36354	36578	-	EPJJIE_000070	-	-	-	-	-	-
contig_1	cds	36752	37006	-	EPJJIE_000071	-	-	-	-	-	-
contig_1	cds	37011	37277	-	EPJJIE_000072	-	-	-	-	-	-
contig_1	cds	37561	37743	+	EPJJIE_000073	-	-	-	-	-	-
contig_1	cds	37805	38392	-	EPJJIE_000074	-	-	-	-	-	-
contig_1	cds	38587	38778	-	EPJJIE_000075	-	-	-	-	-	-
contig_1	cds	38815	38955	-	EPJJIE_000076	-	-	-	-	-	-
contig_1	cds	39580	39690	-	EPJJIE_000077	-	-	-	-	-	-
