#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	743	1048	+	EPJJIE_000001	11.9	9.8		
contig_1	1045	1185	+	EPJJIE_000002	5.5	6.5		
contig_1	1289	1486	+	EPJJIE_000003	7.7	8.9	PF13391.12|HNH_2	PFAM:PF13391.12
contig_1	1539	1724	+	EPJJIE_000004	7.3	10.3		
contig_1	2101	2235	+	EPJJIE_000005	5.0	9.2		
contig_1	2753	3019	+	EPJJIE_000006	10.6	9.5	PF13102.12|Phage_int_SAM_5	PFAM:PF13102.12
contig_1	4375	4659	-	EPJJIE_000008	11.3	9.6		
contig_1	4721	4927	-	EPJJIE_000009	8.2	10.6		
contig_1	5062	5247	-	EPJJIE_000010	7.3	10.0		
contig_1	5326	5766	-	EPJJIE_000011	17.8	9.5		
contig_1	6182	6406	+	EPJJIE_000012	8.6	9.5		
contig_1	6351	6800	+	EPJJIE_000013	17.0	5.4		
contig_1	7303	7506	+	EPJJIE_000014	7.4	5.0		
contig_1	7589	7882	-	EPJJIE_000015	11.6	5.3		
contig_1	8002	8496	-	EPJJIE_000016	19.2	8.5		
contig_1	9659	10096	+	EPJJIE_000017	17.0	8.8		
contig_1	10086	10232	+	EPJJIE_000018	5.6	7.9		
contig_1	10229	10390	+	EPJJIE_000019	6.2	9.7		
contig_1	10446	10814	+	EPJJIE_000020	14.1	9.6		
contig_1	11376	12017	-	EPJJIE_000021	23.9	5.1	PF10412.15|TrwB_AAD_bind	PFAM:PF10412.15
contig_1	11962	12534	-	EPJJIE_000022	21.7	10.1		
contig_1	12717	12965	-	EPJJIE_000023	8.7	9.6		
contig_1	13098	13238	-	EPJJIE_000024	4.9	8.1		
contig_1	13416	14291	-	EPJJIE_000025	32.3	9.5		
contig_1	14330	15103	-	EPJJIE_000026	29.3	5.5		
contig_1	15042	15215	-	EPJJIE_000027	6.5	10.0		
contig_1	15452	15730	-	EPJJIE_000028	10.1	4.9		
contig_1	15684	16040	-	EPJJIE_000029	13.4	9.7		
contig_1	16282	16752	+	EPJJIE_000030	16.9	9.3		
contig_1	16797	17666	-	EPJJIE_000031	31.8	9.9		
contig_1	17672	17902	-	EPJJIE_000032	7.8	8.7		
contig_1	17877	18008	-	EPJJIE_000033	4.9	4.2		
contig_1	18139	18414	+	EPJJIE_000034	10.8	9.8		
contig_1	18553	18870	+	EPJJIE_000035	12.4	9.9	PF04542.20|Sigma70_r2	PFAM:PF04542.20
contig_1	19243	19437	+	EPJJIE_000036	7.8	4.3		
contig_1	19415	19627	+	EPJJIE_000037	8.1	9.9		
contig_1	19620	19787	+	EPJJIE_000038	6.4	9.0		
contig_1	20031	20225	+	EPJJIE_000039	7.6	9.2	PF16344.10|FecR_C	PFAM:PF16344.10
contig_1	20523	21284	+	EPJJIE_000040	26.9	5.0	PF07715.20|Plug, PF13620.12|CarboxypepD_reg, PF13715.12|CarbopepD_reg_2	PFAM:PF07715.20, PFAM:PF13620.12, PFAM:PF13715.12
contig_1	21281	21922	+	EPJJIE_000041	23.9	8.6		
contig_1	21975	22532	+	EPJJIE_000042	20.9	6.9		
contig_1	22583	23023	+	EPJJIE_000043	16.7	8.7	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	23053	23190	+	EPJJIE_000044	5.2	6.0		
contig_1	23184	23351	+	EPJJIE_000045	6.5	6.5		
contig_1	23296	23733	+	EPJJIE_000046	16.4	8.9		
contig_1	23861	24028	+	EPJJIE_000047	5.9	4.1		
contig_1	25672	26172	+	EPJJIE_000049	18.9	9.3	PF14587.12|Glyco_hydr_30_2	PFAM:PF14587.12
contig_1	26242	26361	+	EPJJIE_000050	4.6	6.5		
contig_1	26403	27077	+	EPJJIE_000051	25.2	8.6	PF14587.12|Glyco_hydr_30_2	PFAM:PF14587.12
contig_1	27516	27794	+	EPJJIE_000052	10.7	5.3		
contig_1	29556	29741	+	EPJJIE_000054	7.0	10.0		
contig_1	29805	30158	+	EPJJIE_000055	13.6	9.6		
contig_1	30233	30556	-	EPJJIE_000056	12.5	4.6		
contig_1	30562	30951	+	EPJJIE_000057	14.7	8.5		
contig_1	30970	31353	-	EPJJIE_000058	15.8	9.7		
