#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:1440388-1440645|+  -             86 1827295at2           -             74   9.4e-17   60.1   0.7   1   1   3.3e-19   3.5e-16   58.3   0.7     5    56    21    84     9    85 0.85 1_3159 # 1440388 # 1440645 # 1 # ID=1_3159;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.461
2:813490-813810|+    -            107 1827295at2           -             74    0.0012   18.1   0.3   1   1     2e-06    0.0022   17.3   0.3     8    33    33    61    19    89 0.85 2_1757 # 813490 # 813810 # 1 # ID=2_1757;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=15bp;gc_cont=0.514
1:2931841-2932122|-  -             94 1827295at2           -             74    0.0034   16.6   0.0   1   1   4.8e-06    0.0051   16.1   0.0    12    36     1    25     1    54 0.80 1_6340 # 2931841 # 2932122 # -1 # ID=1_6340;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.433
1:1470176-1470538|+  -            121 1827295at2           -             74    0.0067   15.7   0.1   1   2   1.2e-05     0.013   14.8   0.0     8    36    43    72    31    81 0.84 1_3229 # 1470176 # 1470538 # 1 # ID=1_3229;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.490
1:1470176-1470538|+  -            121 1827295at2           -             74    0.0067   15.7   0.1   2   2       4.6     5e+03   -3.1   0.0    18    28    84    94    82   103 0.62 1_3229 # 1470176 # 1470538 # 1 # ID=1_3229;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.490
1:1197355-1197903|+  -            183 1827295at2           -             74      0.01   15.1   0.0   1   1   2.4e-05     0.026   13.8   0.0     9    38    34    63    20    70 0.86 1_2632 # 1197355 # 1197903 # 1 # ID=1_2632;partial=00;start_type=GTG;rbs_motif=AATAA;rbs_spacer=9bp;gc_cont=0.426
1:3189135-3189392|+  -             86 1827295at2           -             74     0.014   14.7   0.1   1   2   2.5e-05     0.027   13.8   0.0     9    39    10    39     1    50 0.78 1_6903 # 3189135 # 3189392 # 1 # ID=1_6903;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
1:3189135-3189392|+  -             86 1827295at2           -             74     0.014   14.7   0.1   2   2       2.7   2.9e+03   -2.3   0.0    63    74    67    75    61    75 0.66 1_6903 # 3189135 # 3189392 # 1 # ID=1_6903;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
2:705124-705378|-    -             85 1827295at2           -             74      0.02   14.2   0.0   1   1   2.3e-05     0.025   13.9   0.0    11    42    16    45     5    58 0.82 2_1496 # 705124 # 705378 # -1 # ID=2_1496;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.478
1:1052071-1052403|+  -            111 1827295at2           -             74      0.02   14.2   0.0   1   1   3.1e-05     0.033   13.5   0.0     8    32    27    52     9    60 0.80 1_2313 # 1052071 # 1052403 # 1 # ID=1_2313;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=4bp;gc_cont=0.393
2:767302-767661|+    -            120 1827295at2           -             74     0.032   13.5   0.0   1   1     7e-05     0.076   12.3   0.0    11    32     4    25     2    44 0.88 2_1648 # 767302 # 767661 # 1 # ID=2_1648;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.458
1:1328070-1328300|-  -             77 1827295at2           -             74     0.037   13.3   0.0   1   1   4.4e-05     0.047   13.0   0.0     9    39    33    66    15    67 0.80 1_2909 # 1328070 # 1328300 # -1 # ID=1_2909;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
2:986721-987470|+    -            250 1827295at2           -             74     0.065   12.6   0.2   1   2   0.00016      0.18   11.2   0.0     9    48    32    71    14    75 0.81 2_2111 # 986721 # 987470 # 1 # ID=2_2111;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.451
2:986721-987470|+    -            250 1827295at2           -             74     0.065   12.6   0.2   2   2       4.1   4.4e+03   -2.9   0.2    45    59   192   206   189   214 0.71 2_2111 # 986721 # 987470 # 1 # ID=2_2111;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.451
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly/06_genome_quality_assessment/03_busco/long_reads_only_assembly/busco_results_long/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly/06_genome_quality_assessment/03_busco/long_reads_only_assembly/busco_results_long/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly/06_genome_quality_assessment/03_busco/long_reads_only_assembly/busco_results_long/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/long_reads_assembly
# Date:            Sun Jan  4 15:52:22 2026
# [ok]
