locus_tag	ftype	length_bp	gene	EC_number	COG	product
GAPDIIBD_00001	gene	306				
GAPDIIBD_00001	CDS	306				hypothetical protein
GAPDIIBD_00002	gene	141				
GAPDIIBD_00002	CDS	141				hypothetical protein
GAPDIIBD_00003	gene	198				
GAPDIIBD_00003	CDS	198				hypothetical protein
GAPDIIBD_00004	gene	186				
GAPDIIBD_00004	CDS	186				hypothetical protein
GAPDIIBD_00005	gene	135				
GAPDIIBD_00005	CDS	135				hypothetical protein
GAPDIIBD_00006	gene	267				
GAPDIIBD_00006	CDS	267				hypothetical protein
GAPDIIBD_00007	gene	780				
GAPDIIBD_00007	CDS	780				IS21 family transposase ISBf2
GAPDIIBD_00008	gene	285				
GAPDIIBD_00008	CDS	285				hypothetical protein
GAPDIIBD_00009	gene	207				
GAPDIIBD_00009	CDS	207				hypothetical protein
GAPDIIBD_00010	gene	186				
GAPDIIBD_00010	CDS	186				hypothetical protein
GAPDIIBD_00011	gene	441				
GAPDIIBD_00011	CDS	441				hypothetical protein
GAPDIIBD_00012	gene	225				
GAPDIIBD_00012	CDS	225				hypothetical protein
GAPDIIBD_00013	gene	450				
GAPDIIBD_00013	CDS	450				hypothetical protein
GAPDIIBD_00014	gene	204				
GAPDIIBD_00014	CDS	204				hypothetical protein
GAPDIIBD_00015	gene	294				
GAPDIIBD_00015	CDS	294				hypothetical protein
GAPDIIBD_00016	gene	495				
GAPDIIBD_00016	CDS	495				hypothetical protein
GAPDIIBD_00017	gene	438				
GAPDIIBD_00017	CDS	438				hypothetical protein
GAPDIIBD_00018	gene	147				
GAPDIIBD_00018	CDS	147				hypothetical protein
GAPDIIBD_00019	gene	162				
GAPDIIBD_00019	CDS	162				hypothetical protein
GAPDIIBD_00020	gene	369				
GAPDIIBD_00020	CDS	369				hypothetical protein
GAPDIIBD_00021	gene	642				
GAPDIIBD_00021	CDS	642				hypothetical protein
GAPDIIBD_00022	gene	573				
GAPDIIBD_00022	CDS	573				hypothetical protein
GAPDIIBD_00023	gene	249				
GAPDIIBD_00023	CDS	249				hypothetical protein
GAPDIIBD_00024	gene	141				
GAPDIIBD_00024	CDS	141				hypothetical protein
GAPDIIBD_00025	gene	876				
GAPDIIBD_00025	CDS	876				hypothetical protein
GAPDIIBD_00026	gene	774				
GAPDIIBD_00026	CDS	774				hypothetical protein
GAPDIIBD_00027	gene	174				
GAPDIIBD_00027	CDS	174				hypothetical protein
GAPDIIBD_00028	gene	279				
GAPDIIBD_00028	CDS	279				hypothetical protein
GAPDIIBD_00029	gene	357				
GAPDIIBD_00029	CDS	357				hypothetical protein
GAPDIIBD_00030	gene	471				
GAPDIIBD_00030	CDS	471				hypothetical protein
GAPDIIBD_00031	gene	870				
GAPDIIBD_00031	CDS	870				hypothetical protein
